TALLA/EDAD NIÑOS Z DE 0 A 19 AÑOS,,,,,,,,TALLA/EDAD NIÑAS Z DE 0 A 19 AÑOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MES,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,,MES,SD3neg,-2 SD,-1 SD,Median,1 SD,2 SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131.000,,129.247,135.948,142.650,149.352,156.054,,131.000,,131.202,137.830,144.458,151.085,157.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132.000,,129.651,136.382,143.113,149.843,156.574,,132.000,,131.700,138.346,144.993,151.639,158.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133.000,,130.057,136.818,143.580,150.341,157.102,,133.000,,132.198,138.863,145.528,152.193,158.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134.000,,130.470,137.261,144.051,150.842,157.632,,134.000,,132.695,139.378,146.062,152.746,159.430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.000,,130.887,137.707,144.528,151.348,158.168,,135.000,,133.193,139.894,146.595,153.296,159.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136.000,,131.312,138.161,145.009,151.858,158.707,,136.000,,133.688,140.407,147.126,153.845,160.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137.000,,131.738,138.617,145.496,152.375,159.255,,137.000,,134.183,140.919,147.655,154.391,161.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138.000,,132.173,139.081,145.989,152.897,159.806,,138.000,,134.675,141.428,148.180,154.933,161.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139.000,,132.612,139.550,146.488,153.425,160.363,,139.000,,135.164,141.933,148.702,155.471,162.240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140.000,,133.058,140.025,146.993,153.960,160.928,,140.000,,135.653,142.436,149.220,156.003,162.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141.000,,133.509,140.507,147.504,154.502,161.499,,141.000,,136.134,142.933,149.732,156.532,163.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142.000,,133.969,140.996,148.022,155.049,162.076,,142.000,,136.612,143.426,150.239,157.052,163.866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143.000,,134.436,141.492,148.548,155.604,162.660,,143.000,,137.085,143.912,150.739,157.566,164.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.000,,134.909,141.995,149.081,156.167,163.252,,144.000,,137.552,144.392,151.233,158.073,164.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.000,,135.392,142.507,149.621,156.736,163.850,,145.000,,138.015,144.867,151.718,158.570,165.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
